Device Type	Client IP address	Clients MAC Address	GatewayName	GatewayID	OrgID	PublicKey	UserNum	Keepalive	EUI64	TunnelStatus
Conduit 246L	192.168.1.99	00:08:00:4A:3C:F4	MCCI 00-08-00-4A-3C-F4	ttn-nyc-00-08-00-4a-3c-f4	ttn-nyc-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDBdZY/FNpu8lVQjS6EYiOmTKyaMcXtwBNfmjjhxIJS55NdT2WmI801cNcxqiXyNUY70/h4iNBtMFn4tOR51rnbZe18LIf515sXT9o6gAHIH9IOccdMMvWbdv/6reoNNk3drB9/N8sCYjz7qR/Y+g5XDyDvddmFmIoPUPpyswMlR5p7PBIc+n53nfCpZTtTogpJ1M6CUhj6yFa+S68u65XQSvfj5ORoSEy6EmfCybJy7vnDZvN1vTAI+3MvAQw3p3iNnBQo3W5zuwYnujZUDybsw5ItkE9UBGgBfZJjw1of7o12p0i1ekFPUkLPNIa46Ts2UDk37OQzKBWGMNVGPJMf root@mtcdt	20022	40044	00:80:00:00:a0:00:20:e8	NG
Conduit 246L	192.168.1.100	00:08:00:4A:3C:F5	Tompkins County #10	ttn-ithaca-00-08-00-4a-3c-f5	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC7Rxg4vEapWRCOWwl/FxvooibWlB3ZCRLxkL58vatcWSuQuIzZ+vPB77/rvVko062Rx2mewsNgBkdKxSmnpEeG8CTkBx+c66zWO4sWZ5DTGYUEKylgOwebutltaN3ES3KudTy9DHTOr35QN+P+/m716DRBXOcUwwBxYVjFP7G1YBz1GC+Ah49OXln1xtKHhU6hvR2m8s4HAe+Me9URv/aGc6Ll3CXMEh/2DKiPOLn4yhrYHh5kBU6RdrtZ9mRh9cY3mDlR/V5wWEY+UoHQnarynVqUznspUv7+UFEMZo+3ocP+so8ApGCDmH1rf3ap2IBn5BKwIPx+5LZ/3sISp6od root@mtcdt	20023	40046	00:80:00:00:a0:00:20:e7	NG
Conduit 246L	192.168.1.101	00:08:00:4A:3C:F6	Tompkins County #11	ttn-ithaca-00-08-00-4a-3c-f6	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCfzgw2cIloBqYusIJyCzvipRUZ4hCLutdQZG+QLi6bDrAw6zXGWcXudB3SOVqiNhVA2Pqf0crmuXNZNLaPEkVzjv+X/xMKcdazf5/xT3KL++Ukc/hRKCS1bsEgpxPGnhx4KZztUbwH9jeW7UETVvTKkjXMq9DAIjxue+AOZZHXaLd0JcRUjhO9u4+TYLfmjsJN70QxxYIaxB3pNohKImK/4lr0XjuANgIoiaGwTiWxqjZB1DZC5DDymlDeVbqsaKihRJaafSmu1uwrTtiVf4j9YEHyceRvP76xGgDVvnZ+1VKW54aAEwdrAmfTh146YPU00kAJuop+fhYtQLwJLMYP root@mtcdt	20024	40048	00:80:00:00:a0:00:20:e6	NG
Conduit 246L	192.168.1.102	00:08:00:4A:3C:F7	Tompkins County #12	ttn-ithaca-00-08-00-4a-3c-f7	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCyj1bgpBGIMGnoZk9onrVy0iee8q0hT8QyZAjLGNsKv+U0bNvT6Y0s/qolR1X72gVRt+T1X3tHsLrHB7ge9jaELtMejixurNndbavUJG9eoSaopN89AQyPBFXky3OliQR2EpEdgrG1dWpNsO5sI5+jAHMc4rJw19pRDz7EIu7fQrZzxNXt/EKawfsL5WxTWYUoONRs7zQGqHYydt/VdnYIUEILAt/g2LTXWKUp5Sl7udr1t7TGEwjc3W5g3kgSXJAnBZgYms6J3SMDRL1KCAcpNWuvriCxYoVGroFaUdtYV9KfoEvnKv0IUmSIhLO0sRZCUJl5HYKTxGIgWYFp1oPz root@mtcdt	20025	40050	00:80:00:00:a0:00:20:d8	NG
Conduit 246L	192.168.1.108	00:08:00:4A:3C:FD	Tompkins County #13	ttn-ithaca-00-08-00-4a-3c-fd	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDhndrFfAZj+tt6zr3Urgyfiq/r40b1lZZm8laCzzD3X/AXmhobRq7dhF/rGXmkmIAWm1R0xcoscpChaShDkGrUOAOYSAfcDzv379SfFCvLABhUIzRkV6gfoMpEj6/10gPX71o0is/La1k+t6OR4MAGB6UmW9pnYYTHsssB/oUhAeuLMHjOXgafp9v5xEE+zyjsvOQyQhfj16ylRgyaeHimhFD4EUb0zWEI+5mYzGJdftwxM6ni6sAXOx0OOyZRsR0a1ClI1TuNgrjNgpbBgK0Hb5K6O4Oc2phajKM/s4McGzEZab+bQZsrbUPU5Z8KqnvOTW3eMf2z1NIenr4MB7Fn root@mtcdt	20026	40052	00:80:00:00:a0:00:20:ef	NG
Conduit 246L	192.168.1.109	00:08:00:4A:3C:FE	Tompkins County #14	ttn-ithaca-00-08-00-4a-3c-fe	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDCcMY4OQwg947nQPapCyXSio4NeUdBuIi9jwIb5GIVOr/fFG1EKfGPjfGVfeg7nPQu5nw4jM5C8+/flP1Sxw1hr5JnhWVydFtbfbIYhvxCI4enZ3Gu/mZJj43bBJLiuqZMYrfm5cduCe8sQfKcbAWNDnxhXa2+4GPp6p9jQ0dL1F5OzxyrhHkv8q6Hg8qGWtHsa98aNuzl0II3eu7n7vBrb1pf12zky6RfeNuUgvlKJl3aUj+HUFSQasdRFdLiInOfwo2hz+kuDnWPpzASY/GQ2rK/AnofnfyEIQ399FST6T3fk6f9v2zJLIs4gxnOtJeqXWoyJ9wKl6IacF+IpXGx root@mtcdt	20027	40054	00:80:00:00:a0:00:20:e5	NG
Conduit 246L	192.168.1.110	00:08:00:4A:3C:FF	Tompkins County #15	ttn-ithaca-00-08-00-4a-3c-ff	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCnl/jHx5uME2W3zRJXX/nl5hf+RDLMb28286+YDQA9SpqKRICQlKN51rHwv7dybH5/k4y1N2u2AOQZqmjXinF5IWwfxJFSScPCaDHyKetQSyJnnExIowVqjdqx0u3UrX6GPsX9CNfMngESq5J4juxli/d0ntFlsPL4Vq4xm+FOxrmTGX//7eCS7ZxXtTuwUAk8Gc7Dsxj4I/BCYOBjwqJ7EujHt/6ryQphT8WSDxyPsbWv4ssasrqs4z6wTKAKUNtwUc4vmPVDVfsG4qC/LVlVmoVFrjP34p9cE8dL0CX4BUmFLO68tonjbbZiiiiISUMHBjrBeFDqbZ0ZNo+u6vw5 root@mtcdt	20028	40056	00:80:00:00:a0:00:20:e4	NG
Conduit 246L	192.168.1.180	00:08:00:4A:3D:00	Tompkins County #16	ttn-ithaca-00-08-00-4a-3d-00	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCfnYawXlT/RlhvU2QnN3sx07gMpVF0lnLvLvTIUUYFHPX7A/c0lSu+3iF/SrJiL7t51sssWvw9C6UfSnhVTVVfAiPRAvV0YC1VPcr+dCIWFSK66EE1FpPGCNahkUy96tQwAjQZcXYqmUKsSQRcl2nSVmDrid9DwCNqNZLQMVJzqUYqNOv47pwbcB6J2mLn2E8st+6tKEy2lPiGGZCKRkn6CYNSf7W0vbMsfeGTWSCpMaAim8l+GMiuO1NRT6vEYtGCOu6ClIpdZvfF+ZIiNfiugtjG40YU6nX2TBi1DpjskCvkt4uGEuipxaWFiEnmx2AvK4DUt9R+YEHRm1dkT3XZ root@mtcdt	20029	40058	00:80:00:00:a0:00:20:e3	NG
Conduit 246L	192.168.1.181	00:08:00:4A:3D:01	Tompkins County #17	ttn-ithaca-00-08-00-4a-3d-01	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC8tySnp1pHguzdb+BhPytvcRWeA/qXmH+m9g+jbLAOkBQDPMaicgp9FpS2+BvkkZ/owYLA5G6l3s8I7DikdetaEfK/kBT9elje8Ael9wjVv3MCglGK+NtB8vGgc5j8LY2hOEvjhVVeM0DsYBCC4D/xzCSldyvhsaDYbgBF6iu3DxHcQcNfXqAG3KkmnEeX9i0fvWLKe1Icc9otRkai8ZU1rvtW/5YwyV5MtyfdekncQyjZZACwSiAAWDCrhClysC4VSBApxNmlcN/zs68giodyRmXHDBMimZdyrt+fdOTpI/GuEOWgBTp0rLn7u7mSUQb0HvrhKLrapxfQmig4Nog/ root@mtcdt	20030	40060	00:80:00:00:a0:00:20:e2	NG
Conduit 246L	192.168.1.182	00:08:00:4A:3D:02	Tompkins County #18	ttn-ithaca-00-08-00-4a-3d-02	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC7G3vSsoDYfZDrQPlcydB51WPBsqYLSId2wY9VSXnNj66vRjlYtYYHnGojCj7InmKWZGt3K1zV0zd3VthHuMz0YmO77mSthAgk/9Uz4ZczubV3WvSYLmCvY1q7zsFkLKzIuSY0dxXlpqOxVuWw1legfMA2HNY4yNQyiVyjU2LZD+vDHIGV3V4NCKvJkmrm13Tr66ZIzgFeqRytOYb2/kJ+b+BSmYZhYfs8jQAV9rZ8VZJOgXI9P2PvLyAwwv3XjfRwsQrmcLs2UyyDwZt7257lDFmet8wB6qwiFp10YLrZp8BFOZXmFrwVEphJRBrADDuw+LHrYjnJD0U26ybrnZ0r root@mtcdt	20031	40062	00:80:00:00:a0:00:20:ec	NG
