Device Type	Client IP address	Clients MAC Address
Conduit 246L	192.168.1.99	00:08:00:4A:3C:F4
Conduit 246L	192.168.1.100	00:08:00:4A:3C:F5
Conduit 246L	192.168.1.101	00:08:00:4A:3C:F6
Conduit 246L	192.168.1.102	00:08:00:4A:3C:F7
Conduit 246L	192.168.1.108	00:08:00:4A:3C:FD
Conduit 246L	192.168.1.109	00:08:00:4A:3C:FE
Conduit 246L	192.168.1.110	00:08:00:4A:3C:FF
Conduit 246L	192.168.1.180	00:08:00:4A:3D:00
Conduit 246L	192.168.1.181	00:08:00:4A:3D:01
Conduit 246L	192.168.1.182	00:08:00:4A:3D:02
Conduit 246L	192.168.1.183	00:08:00:4A:3D:03
Conduit 246L	192.168.1.184	00:08:00:4A:3D:04
Conduit 246L	192.168.1.185	00:08:00:4A:3D:05
Conduit 246L	192.168.1.186	00:08:00:4A:3D:06
Conduit 246L	192.168.1.192	00:08:00:4A:3D:0C
Conduit 246L	192.168.1.193	00:08:00:4A:3D:0D
Conduit 246L	192.168.1.194	00:08:00:4A:3D:0E
Conduit 246L	192.168.1.195	00:08:00:4A:3D:0F
Conduit 246L	192.168.1.207	00:08:00:4A:3D:1B
Conduit 246L	192.168.1.208	00:08:00:4A:3D:1C
Conduit 246L	192.168.1.209	00:08:00:4A:3D:1D
Conduit 246L	192.168.1.210	00:08:00:4A:3D:1E
Conduit 246L	192.168.1.211	00:08:00:4A:3D:1F
Conduit AP	192.168.1.113	00:08:00:4A:3E:72
Conduit AP	192.168.1.114	00:08:00:4A:3E:73
Conduit AP	192.168.1.115	00:08:00:4A:3E:74
Conduit AP	192.168.1.116	00:08:00:4A:3E:75
Conduit AP	192.168.1.117	00:08:00:4A:3E:76
Conduit AP	192.168.1.118	00:08:00:4A:3E:77
Conduit AP	192.168.1.119	00:08:00:4A:3E:78
Conduit AP	192.168.1.120	00:08:00:4A:3E:79
Conduit AP	192.168.1.121	00:08:00:4A:3E:7A
Conduit AP	192.168.1.122	00:08:00:4A:3E:7B
Conduit AP	192.168.1.123	00:08:00:4A:3E:7C
Conduit AP	192.168.1.124	00:08:00:4A:3E:7D
Conduit AP	192.168.1.125	00:08:00:4A:3E:7E
Conduit AP	192.168.1.126	00:08:00:4A:3E:7F
Conduit AP	192.168.1.127	00:08:00:4A:3E:80
Conduit AP	192.168.1.128	00:08:00:4A:3E:81
Conduit AP	192.168.1.129	00:08:00:4A:3E:82
Conduit AP	192.168.1.130	00:08:00:4A:3E:83
Conduit AP	192.168.1.133	00:08:00:4A:3E:84
Conduit AP	192.168.1.132	00:08:00:4A:3E:85
Conduit AP	192.168.1.138	00:08:00:4A:3E:8B
Conduit AP	192.168.1.139	00:08:00:4A:3E:8C
Conduit AP	192.168.1.140	00:08:00:4A:3E:8D
Conduit AP	192.168.1.141	00:08:00:4A:3E:8E
