Device Type	Client IP address	Clients MAC Address	GatewayName	GatewayID	OrgID	PublicKey	UserNum	Keepalive	EUI64	TunnelStatus
Conduit 246L	192.168.1.174	00-08-00-4a-44-f9	TTN NY (Marc Lindahl)	ttn-nyc-00-08-00-4a-44-f9	ttn-nyc-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDAg3JA7P50YN+8zcqUqE+JXYxDCD+IHfJXLv4I9dYCZEFchcE2ZUB/6FAhOgSSaQyv/I2BR9zqjNk0uqeURS5KQf9aKw/RboxG1nRemS5WaA3vK6VjGsK/6YKeIYTax2b+wS5w1Buswc87o/y8aPdlI1uR5BKmNP8zprhH+juZ9YkaeZc7f5iXqMn6NoEGDU0V11E5Nsql1gU2hO2UC1oaABf3iBaPZA6VTLNYNHiBFmyviaQ/gkpFlbCI8w+Ku86Rk48dcWUbKJWUzXjDrfMcFCbqkAu9c1TcaGtQOUzcx5ePHJEuBiSJFpDgRjPMKGlHBpESFlZCuBPLoou6x8D9 root@mtcdt	20074	40148	00:80:00:00:a0:00:28:f9	OK
Conduit 246L	192.168.1.175	00-08-00-4a-44-fa	Tompkins County #27	ttn-ithaca-00-08-00-4a-44-fa	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDDvBN4IKPTq8Gw0D+ICpNc2zZjklwXkmiJ9oSGHaNGMqOu+DsCHPPzz4us8mqwdxssuz5gNsDYdUG64BbAqJyjzxnI7L/RMpBm3/g0rqQWudDbRbiSdeM0U2CzxpA/tOimbI4VLnN02GlNkjnzWeJRtujKcdE1HwlffG8OMLfA+34baLaWljOYiQNd2Q/u335eKzxkbSOv4wUbpnRjCPr9DYYYh3RbUaiFWoSvy6h/c8clkybO7/ZMFbgrQZXd3eOe1Eov8QIITu8bqL4EL0WHd0mr+tRr66cTE3so/GthmBX0jZDc3+zmVDb0/N1DEC8bO9zGEP9zTglcEBDfyHkt root@mtcdt	20075	40150	00:80:00:00:a0:00:28:fa	OK
Conduit 246L	192.168.1.177	00-08-00-4a-44-fc	Tompkins County #28	ttn-ithaca-00-08-00-4a-44-fc	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDAw9rLU292hIVmk0i4GpOh2aeBXl0fufth53MDVM5DnUT2rwA6VwFfz2CbJibJI/UnrAfWbYGfobhMBiIJSlDocOcV36v5GYESST2FwJp1FdydTKxDo2wWWZDv/1hCPehBDCye300pK9aMf7iju0h+/izm32sZ5SrTICtzHMOpcj6cOXpNB/4xDxOHUSpNeSedvSXih3ujQ9RzLxTnX3VwCXjzK37sZzcNMf3zVqY5r+YeeiebUAy9aE3GBPfpRNuvvhaqwVrEk/5zlDbtndAffPw1JIxJRh6SKkRpC/jLJ7p7nuMnmxqg6F+9RUKg9en7DisZWre6xmNQ9kpGbVtD root@mtcdt	20076	40152	00:80:00:00:a0:00:28:fb	OK
Conduit 246L	192.168.1.178	00-08-00-4a-44-fd	Tompkins County #29	ttn-ithaca-00-08-00-4a-44-fd	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC4YlH1OFXLIjUFQm8jIviIRwPQtIwd7J0Kmt7gO9frJzSuhNzV84xHksFK/y0pmsRexOsoH3akGp075mX4tS4M/cwYPO8CdaYi/SPfRMnnm555Tq03E66U4z0gLR30TqULkvrGc49uV02XcFzZc5O/W69bSs9MzQ2poh+2Soj+ka6aaGYLvHc3YwP6vtnDxEweu/eIDOGSzi+HR4lhpxLSXAlYRBn9gO3sof/OqFs6nrfDM7XwteogHnTm6SYjE5vyagh7ELqDs9k4yFSz2RU1Xns7cPcdbRUCipVMmhZoRCFnx097MwuuZew4+/QMS16aqFe/396S2i1VCb7S58xz root@mtcdt	20077	40154	00:80:00:00:a0:00:28:fc	OK
Conduit 246L	192.168.1.179	00-08-00-4a-44-fe	Tompkins County #30	ttn-ithaca-00-08-00-4a-44-fe	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDPn0DfavhkjIi9hta3TUI2/7/AWtA2ZPV55gzvlpHJ+j77WWd8h0W5jr6idyjL2fmDt9wSzEe9b20h5Xc/SksuKhY4LnDc6GfmF1hReE4n12ligWTd2j4bdOTmfjseWqENP1rq4Fj2hWy9vToXcbWmcrYBY4LDN23QbEZRfKdZBw+C1x8jauDcT6eHIjArQSPmnkhUjriwGhlbbPJrw9FhiWdGA1RuVIi/Gf5DMaD0YTTuLepUuuR0IgxepErHudjptww+sU9tMCUVg2txqUg16rrFLlCPt5+eYCtrulFavTxR+N/H4Q1QzVd+14iGaaHEzWZ1T5p8FXxQ+Pu6uLVn root@mtcdt	20078	40156	00:80:00:00:a0:00:28:fd	OK
Conduit 246L	192.168.1.180	00-08-00-4a-44-ff	Tompkins County #31	ttn-ithaca-00-08-00-4a-44-ff	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDEowCgcbdCOos6qfOWlrHGFctvpgNmqMFhUshD6347TnhoWitE/HuX1EqVfPs8xrYdi4QgzTROXFM+J8oOZ/1ahPqidKV6kr/mFXyDEL6Boej5F2g6mRoMbtkqSZN78dZhQG3ucvAF0TGVElebBPqabOk4oIkGY+5JFUB4HWoBHV1n1t7cmRSORiv7HI72+D+3Wjct4V5OnqjKSta7SmMR+efixxEpymfjelua0GSHCE6G6hSVt2ZfyFN3bIPuzAjr/TdQusxDHJ7JzVhPxWIYSMoczN1nGH5IOxhcIwUp9ai6nGXJw7JY7AlxjTmEDi5toV9kN0YpDef9iswQbHdV root@mtcdt	20079	40158	00:80:00:00:a0:00:28:fe	OK
Conduit 246L	192.168.1.19	00-08-00-4a-45-16	Tompkins County #32	ttn-ithaca-00-08-00-4a-45-16	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCt4tKYYDzvQ9OcZ7775GMIgL1I/WGz2gCDNE5Helosq9U/DGlf/x2Zv7R2VxmiUC+692J/EBZs7FyOqkOJZoi8mKJnHUgXD4/K1APdSPcRu3TKCUivg86X8ojHg5lV7y7PVUPefbT5yBlh6ezWBfJ5ZsV257NzDYHjDDbXh3BJvMd2Wtt0mQoiUAGwFpp7uPWb3C7I4sAHsfT673EwWcUriXro25CWsEHfImyUNgnO/7FFSKpUzoU8iRTxB5ggM5KoWY7UyTaqfUO3TKx1zxaGux2Z3Vpu/PBtybZLy3fFXORikRfflAPe+MkBXeLyCgTZvq/rk+hqMpPckt8yJxsl root@mtcdt	20080	40160	00:80:00:00:a0:00:2b:50	OK
Conduit 246L	192.168.1.20	00-08-00-4a-45-17	Tompkins County #33	ttn-ithaca-00-08-00-4a-45-17	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDsgfHQu1SiWqR2dyKFUeQJcKESn9yw1rPVu574zP2CrWv7g597WosH+Kcz7mdR5IEVaNQLTWVKLDYUg/hwdLAlB2PXRT0+Ww3+hieGnSEip/4J6lQ6GTWTLn3an5TY69K1IGDNcKC+rV/1c8eI9xHyNNQUMmXUpv5HnH1M9VrUfiCZj57HczJ0pV9Xy9kM35RDA10RrECq3v1ZK5PPP/WNFGuXXowJ9suMdNWPwwrpgOmgqW1Slvh1dS1svLHW/d3Rzf6CB+HcuedN8hI2PHF509zZq5auqRPHIm1QDzDS2O50VWk3BSqPHe8NVEn57GvSv1e8YYeIVMM8AmQl9spf root@mtcdt	20081	40162	00:80:00:00:a0:00:2b:4f	OK
Conduit 246L	192.168.1.210	00-08-00-4a-3f-8b	Tompkins County #34	ttn-ithaca-00-08-00-4a-3f-8b	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCquBaDfUb86wAS93t6xNWy4xBGL6A/QheCOtI0gJTnloY83IrGo/Zeb8ops1iX7t/T2BvQ0OaYsL+zy0F6cdXH9vA+Uq3cOmDtXaQR2S/HTxeCExOitG78o7tTGtvoRHhHHVhWqRTocL8x4AoknmXgRnBFPOjGCxJjthhVs3xGw/hZasSQldw4uBUchv2A5uWL0DdvG27+Pp3sELOlnyrWIiS/bUfi9u1ay5zuuNY9l7hW5khXfOdvlYs2FvIkqMIFRMhVwsg+5W6MHvl1GU35za25bJDL25XO6MwWVaxsYRFtden5WdsZQ+ChlcBokccaui93p7sYVBgbE86Xk0d5 root@mtcap	20082	40164	00:80:00:00:00:01:17:7e	OK
Conduit 246L	192.168.1.250	00-08-00-4a-45-00	Tompkins County #35	ttn-ithaca-00-08-00-4a-45-00	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDBY3tlUqhe+gcqASbZUVYLAHOZuP7ygQ+Xq2JR5CFqFmlB5RwElVJsuduG5K6cq0/S9hiqAtP0FQp94JZlZd6LO7B+TbFd6l6vE+3pm8ncqEyMq23jm6m3pVMqQFNgXhaVCqhjP/j+zjxfRFfkD/cXWaT5iUFIRBI8lZ0cWtm2wHAABpKuwob4sZsWdASCytPeGhW9WvicKGFGoZPx7LEQuknn7Wbm1sXbhJpPnAi2o+q/o1JjGa/EKX9QfXassuQZTgwZTprA1kbfjDfcWxxu0+z84uPpI1OXo31Em5PKcK3o1j7lA8wWW+AUME0cp5icM1Hfy3FPoqhXCKE8Du4j root@mtcdt	20083	40166	00:80:00:00:a0:00:28:ff	OK
