Device Type	Client IP address	Clients MAC Address
Conduit 246L	192.168.1.174	00-08-00-4a-44-f9
Conduit 246L	192.168.1.175	00-08-00-4a-44-fa
Conduit 246L	192.168.1.177	00-08-00-4a-44-fc
Conduit 246L	192.168.1.178	00-08-00-4a-44-fd
Conduit 246L	192.168.1.179	00-08-00-4a-44-fe
Conduit 246L	192.168.1.180	00-08-00-4a-44-ff
Conduit 246L	192.168.1.19	00-08-00-4a-45-16
Conduit 246L	192.168.1.20	00-08-00-4a-45-17
Conduit 246L	192.168.1.210	00-08-00-4a-3f-8b
Conduit 246L	192.168.1.250	00-08-00-4a-45-00
Conduit 246L	192.168.1.251	00-08-00-4a-45-01
Conduit 246L	192.168.1.252	00-08-00-4a-45-02
Conduit 246L	192.168.1.253	00-08-00-4a-45-03
Conduit 246L	192.168.1.28	00-08-00-4a-45-1f
Conduit 246L	192.168.1.29	00-08-00-4a-45-20
Conduit 246L	192.168.1.30	00-08-00-4a-45-21
Conduit 246L	192.168.1.31	00-08-00-4a-45-22
Conduit 246L	192.168.1.32	00-08-00-4a-45-23
Conduit 246L	192.168.1.33	00-08-00-4a-45-24
Conduit 246L	192.168.1.34	00-08-00-4a-45-25
Conduit 246L	192.168.1.35	00-08-00-4a-45-26
Conduit 246L	192.168.1.36	00-08-00-4a-45-27
Conduit 246L	192.168.1.37	00-08-00-4a-45-28
