Device Type	Client IP address	Clients MAC Address	GatewayName	GatewayID	OrgID	PublicKey	UserNum	Keepalive	EUI64	TunnelStatus
Conduit AP	192.168.1.183	00-08-00-4a-3f-70	Tompkins County Personal #10	ttn-ithaca-00-08-00-4a-3f-70	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDJ94JzEEsByea9RZEii9oUQh7xswvhfbK7lDMHiku+91GI7hsm8zHvZ7vccI5Vb/6fGPr7JMszLdp8IV0dZRFqtlcNAUE3SeeuxzppgKwD19sweAMUXrkifr8v95r6cuzbL9cBLVLu0Mc+1F7FWEEG94yJqm4BUAhFTIL1fxFJYZHe7Bpw/zQXUK8Bb+ENNkIIq0FMTG6qNqfpVb1fNDCh4CDtuRDxW4veXe43xIZhZPxTToDf/7gua+WUDMewlX+Kkbp/7nksEv4mPYYczHn5JkjDzEYipFqW3yFZie6VS6P3sUzdHxLgkBUGoVe4vqPoRngBMKvOY+VNWTa+tLDr root@mtcap	20097	40194	00:80:00:00:00:01:17:63	OK
Conduit AP	192.168.1.184	00-08-00-4a-3f-71	Tompkins County Personal #11	ttn-ithaca-00-08-00-4a-3f-71	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCy7Q/5YpPmW8uoeop/XBC+wY81F4FY1OZ6EL4RRg7pQexjSO/YgqsBD7idRgBVlCgJ+q7C0Zt8pKv2z7ltVsfDwTDd1dIcZVfhWn/q7DBaTZ9t40jNAyIvPqxgcu4CdM8txJvJ0/hfmMTJYB8j53TPE1msOrvTeDuRe3aebZGbR1/jFa+CV9L5yyGwIc+UiVQgAQ06iZakRWIyW0YRp9kwehgKygEl2k8YTltkWN+LW4Xe19bqUJkwP3l5pib49lIsre8Hx82+Kyux4BqeVX76N17jgdRJSv3GbbfdhE4zY3hE46RfrJ2Pb+3WNWfaS5NzrQM9YxQsDkv4BOH5QG4r root@mtcap	20098	40196	00:80:00:00:00:01:17:64	OK
Conduit AP	192.168.1.187	00-08-00-4a-3f-74	Tompkins County Personal #12	ttn-ithaca-00-08-00-4a-3f-74	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQD0lw95TYH1m1cNlO0Jy5/jo0jJnhUrK67Qc9RIIsVxA/6ggCKtqTB5tP1q6+jkAnWEPb4TEeOVQdL/L16ZGhx7TtM+1ht6tMWFijIAEiZ6vSu9BTBWWEx2RS4/528XMfm5udg73docp4P6fsVXJpxMKmsVAsmrq8P86gDPhF8ka31f3qkw7MKSq6qXQcRSJOI4K/0nByPEF7ZHYxf33RbgnK63leI2/JUFRoV9h1yfyVYPhRB4x+4tv5G23LbijtRybJYn4SjsM3pw1oSlrNEYXweERZB6DmrJqbYahoxasyHbZmbzXlU/4UTupFKw5wx6JNvx4WF5Mpxb+yYSnzhP root@mtcap	20099	40198	00:80:00:00:00:01:17:67	OK
Conduit AP	192.168.1.188	00-08-00-4a-3f-75	Tompkins County Personal #13	ttn-ithaca-00-08-00-4a-3f-75	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDy4qAQurCxzJRu8kbMIPCwl/Ql9T0zQJtszcUFYKLp1P2P3YiR8t8kuBPv/EyKPV4kB149X0IzeiIXUDJVx8XGTQaBL+Bm5mJlctsIOCeyK9df/tcwFoDBgeb31yFQVxXrgqaAxuTae28rucvLBOXUZHTr9sPKroG+J3F4j45xu84nwCWPi4P76sh0mymBSar3mYvrLosyT2WKhJGcwJzil+SDIhrPPWDtly4fcZF8GwQZYiV/dBn5d9F4kzJSuKaHKbzy07P7cU3l6THrJjyBCmhXpJ/7p+A2yXvVQ7FuklS/UX7rcjAc4IjT6jhL2OqwiDKgH0R3OIpiBy84iemX root@mtcap	20100	40200	00:80:00:00:00:01:17:68	OK
Conduit AP	192.168.1.189	00-08-00-4a-3f-76	Tompkins County Personal #14	ttn-ithaca-00-08-00-4a-3f-76	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCXsC+kXYMzf3fTFQm6uaDPEUt/yIrjZTbTDViKZDOf1qmJwXpimwfJ2UVqDehl+9FyG5Y6tzh7D714y/E6YS7VD4RaofggWC+UYKuh2UZt9JGnqyAXPvl633DcAQkeZCNjf65+vhRrZmSdilHV4b86d+U/m+hExCs1SQmK+JsPSwG6HQSQa3Wvj0VGs0nkc8h/YlNtnw6Dny7pcW+jDpAEZqzd7HFdP7NMBN6RHme3Rf/MEB4w8nABK4KgQ4vS1Jy0MKum7nuab/Y92I/8u4Z2T1hJNjulUG7LxkcYvx0BTiCQRnphb2GYXL/ZswM1wPYkZ2iw8CAn9mnKkiF6ptnp root@mtcap	20101	40202	00:80:00:00:00:01:17:69	OK
Conduit AP	192.168.1.190	00-08-00-4a-3f-77	Tompkins County Personal #15	ttn-ithaca-00-08-00-4a-3f-77	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDM3XJUOqNd0cj0gw23cDQ57bHEPH7eYOWnQsN5HyvNYdqBsbbD2yCD4kAMCrswvuS/kumjLjkETEzhvcG5dxg5bQhIu39PkoiUUMAc9kLdvn2lA8w/3dHE7MR4iOsJJ6+RSVzQRo2XtALdQcvadWi8FVs+CuE0+iHhS39vtbhEfLlmY6yr4tRCVojxtIzWlWOT6L6Vk00/SP09GohXXLgDFn3JmExgn0pTLbd1N3N9WxVZOBfxj2+jKx9PYOJUbmd3Krpndnq1MxWS6DDb+QvQwox1huLWR9n4Yow8MykqtmSYNbxZ9GBqDd2Vy/LwKrskABg9T7+dlLSSUE5NCl/R root@mtcap	20102	40204	00:80:00:00:00:01:17:6a	OK
Conduit AP	192.168.1.191	00-08-00-4a-3f-78	Tompkins County Personal #16	ttn-ithaca-00-08-00-4a-3f-78	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDD8K5Bn57abA4XNJDDOX5T60HAoCmNxQmhVUOEzKu+kHuao8FRw8hdAQ1TISLfeciI+Q0QVG1HXX/Wl1yOYY46bJldyeCgYqlYEwu8KNikHSAEDEVoHnquP4OOahnRFnTFhsRTKOdKRwyUbjvvCBljKkBvR6BOrLNtWgH9KgHdEot9oqF4eixYWMgHHYWmKDeSIDComFZJ6Alg0F+1SinhoVBe7ugrnBVRof67fwYuxlk143Lx1+dg+bj+qohBHebTCK5gfOnHnWCUfhxkXM/sBLSi93gOZpU/ySEkcWcmrUpVW0CS/r+sHspw0SlZ0vHY2UrpWXKVrAk09D4JQFEP root@mtcap	20103	40206	00:80:00:00:00:01:17:6b	OK
Conduit AP	192.168.1.197	00-08-00-4a-3f-7e	Tompkins County Personal #18	ttn-ithaca-00-08-00-4a-3f-7e	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC/Z7pAynvg/rL3y1bkgLI34Pr302oUTTTy0zVDGE90Oo4tXWr+lhFLPCR5xXWEXW2wr4W5zu2WlEPoOANPRcwfiFpNUe3W2FRVMCbvmZrSIyYseBUH/oGZuypDydPRW25FSfrWD00Wo0BLVMa5tZFp/DXz1ase98/wawIYnhL37vOeP43xjUeIqKWh0i8eNblRWIwGq3oA6HK2ssWOdUgyzW9pXyUGjk0DgfRlCf/s8DY4F8kyBpFs7ybA6n7oednDAxvZogjEqStEd9kfaDvQNbi7x8UKqtMIhDg5UoujI+Vk5SzVmcGlEGPJrETWD8/qoa2BRy8RaASxM5iSCnFJ root@mtcap	20104	40208	00:80:00:00:00:01:17:71	OK
Conduit AP	192.168.1.198	00-08-00-4a-3f-7f	Tompkins County Personal #19	ttn-ithaca-00-08-00-4a-3f-7f	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQD5jkNPaILyt/3EWwJ+oUAIsg2J6Vvz21p3DgmG+ilWLmzDvfo/Sir/buwRIqS4hbj4dhdtjDs44BsJHwQj6zEw2WBeshvCW3LH5Sw0JDyfZC24nkH191T0U2O5bbtxciiefFyxDfbqU6FcHQdYrkQEAS3FytEbisAQuY0YQmjbtD7Onz3YlRTfPPE96JdXNEZqKafajMVn3M6oVxRUMBd7jCop3NM4hpSIcBlnipLtHTplU/iVB2U+/5g3KZ5k9Evv2dUC1H6rGamZeh3DPyHYbrEkvBNyo6R7QuKNgE9NJx2nUvGWZfWxE5NobIoz9+JWGqhY4MxGrU6/qPZ4qsyN root@mtcap	20105	40210	00:80:00:00:00:01:17:72	OK
Conduit AP	192.168.1.199	00-08-00-4a-3f-80	Tompkins County Personal #20	ttn-ithaca-00-08-00-4a-3f-80	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDAsUSdQFXJU1DZfWuoTTQ4w6e6rDP7fTdoaaD1u1rupohe/Czp1bYbPbFjoW9UB6PB9YXWek2hOKOlr51L/T3PU+nJOpmeYN0H+ofwwvmCEeHCRErnwMeHEw3ZZ8Rh9FYKzUBiGWiKH0olTDtVpNNQWwNoD03A+W4GL0IbusE8gNDwMRqJGntfPnuOlMcTi0oaAhAB//V1G1B9lXwAwAId+avEP/hzhlMQcZ3MTUvqvSGEn2XRxg4ci4btMx2stqoqm3oOFZy2Se/voYdHcvtJl4WUmMg/5F1jPP+4hoeJbTSTPeumi4dnjdpkP27F4Ku/Wu+eSi365lc3Dof1LlbB root@mtcap	20106	40212	00:80:00:00:00:01:17:73	OK
Conduit AP	192.168.1.200	00-08-00-4a-3f-81	Tompkins County Personal #21	ttn-ithaca-00-08-00-4a-3f-81	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDB+TU5/8e/PFYsXG2UVGD5jLv74z/da1ip4UprqffstHYi7rQhE06wRfHkxnlnEKt4uJ4xhWAVWQKcX2dN8aeOJLp0kJc7xPE9X/cORKFC+aBOnEqmLy9DQ56mfck/BXdMstPwM31fq82k7nVsbJYhzJDYgD2xoF5KpZVN+NxTx0Ya+KaFQR90HO9Qgq3X6tx9WiP9rmekJQJ/uRgm5s0iFcO91zljzCl+uoVeid8bcaDQarvKiVRx3JZnSsz8ZtZfCPLv71W8AMLGsAiW4EJ0BtfB+umVSYxANZwE7Edd8W7xoMwR/aYkG8YeWbqrleUqrr24IAGHv6eqjaA0Mdxd root@mtcap	20107	40214	00:80:00:00:00:01:17:74	OK
Conduit AP	192.168.1.201	00-08-00-4a-3f-82	Tompkins County Personal #22	ttn-ithaca-00-08-00-4a-3f-82	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC0Z5P+z2DpqWaMuF0Rx9Y4J5yXafIJxvzEMQJczeIxV3lRZEVvfeFWTkmw6zG5AhScibmKjcbZQ2WcsFBN2KO+jQEMiTiXoPnCxc8xHLiU9pwuE8IxpgZoKI3oDBg6hND1UYWpdXngXV7BuEocnyFqK/wNYrahGH122T9qUPPJpPlgowFvWJGqsWdhHC1FpUvTgQd1frfmTc8xXROfs7c3q5EFGHMo/6deoU5DfMn43yKLDfzPAktmZXV1qe2IVwFrFCcvRILJDFd/4MCPPjG0cKutcpk6GpomR6+1zO/vAOfdSM5ol24xr80hTxFVNqyNPdq/z9Y4MH6KwlUjbAo9 root@mtcap	20108	40216	00:80:00:00:00:01:17:75	OK
Conduit AP	192.168.1.202	00-08-00-4a-3f-83	Tompkins County Personal #23	ttn-ithaca-00-08-00-4a-3f-83	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDF0JptzEQtPHlXiNTJepVZ0GqI5BucFfoOzRkAX83gtG+OzIeHcEc2FDkbkS94D7HvzxgZ4SUHMcS/pD2h7WvoUss103cMwODg8omFGkvWJCz+Z1u5SoShVFWuJi+lo5YenWrfz+Ad5j2tkE/zE/5YDNWCAJLnbIXKbIA+0HwXt/J5Ddredj7Emr+AvrXbeugM2dXdXrl17870B2ObyIM5/ZvwQ8HhBYxsLxikRizMK3vqs/aDMCzFEBLh65hB5lJFsIuK0MhgcXkRTmEXlRQXhEFrT8y6QjmqTj+BQMU+vpfmoA4t4KHcQ9RodO1dRpSMB+OaJrCYIhJlW5PEdLL7 root@mtcap	20109	40218	00:80:00:00:00:01:17:76	OK
Conduit AP	192.168.1.203	00-08-00-4a-3f-84	Tompkins County Personal #24	ttn-ithaca-00-08-00-4a-3f-84	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCgJ2413nq7gDAPuFpKID8UHsRSv09IdIZ/A8t7a2Lo1wb5aRZKntCN5NJxIELI8+Sqi8SN28T5gBjzL/eUHw4BWr2pP9U59nZanHtO9fjne6orey+pdXIm2SeKNpbIcbZkx5rnB3Qx8beuWJp0imeVAF8UBONAJIafV5SFkjvfbYkwujOjGikreLinhZDCGtQ5ckIUPa/FU+oaatUuwY7TuF4VhgV0RsDvzAFn6XJdRmeTFXpvV0dHzXoe1UUZjWuCCNFhCNGE8KWBDSjYHHUioKbDFRUofLZW/IpJK/jVdcaBuW/xqJpr2antUXEki2WzfxeUCBAtvmTAp94pIQQH root@mtcap	20110	40220	00:80:00:00:00:01:17:77	OK
Conduit AP	192.168.1.204	00-08-00-4a-3f-85	Tompkins County Personal #25	ttn-ithaca-00-08-00-4a-3f-85	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDUf5G3U3wDhWWqkhzJpwLFUS7PgNOS96n+hzf4pbajZG8L7gP+TmuSVaxM03t/X8SowWKkt39/o0CT74LqVO8J9A+2RLg/AxkFg1EQAob7S3S7Cqno48MHRxY7QFvSrO6mq3i/cXEIqLZKe065o5LeNBc5QBIQVszgZNl5I2VItn9H5STFH7SLaSU+cbTDDkikbGvJgZZLSV6Ne+RsriMSMUfFfZWFcyeEsr59edBkoGrCjKcVf2IL5NHowqhGKGXOosGFa03/hIhtAFkidkblwxQXyRLBsSfHMV1Bbm1Tf2HChbnt+dGAVR69G/9c0/WBkmVgMVfDr4ZwrkkSUKlD root@mtcap	20111	40222	00:80:00:00:00:01:17:78	OK
