Device Type	Client IP address	Clients MAC Address
Conduit AP	192.168.1.183	00-08-00-4a-3f-70
Conduit AP	192.168.1.184	00-08-00-4a-3f-71
Conduit AP	192.168.1.187	00-08-00-4a-3f-74
Conduit AP	192.168.1.188	00-08-00-4a-3f-75
Conduit AP	192.168.1.189	00-08-00-4a-3f-76
Conduit AP	192.168.1.190	00-08-00-4a-3f-77
Conduit AP	192.168.1.191	00-08-00-4a-3f-78
Conduit AP	192.168.1.197	00-08-00-4a-3f-7e
Conduit AP	192.168.1.198	00-08-00-4a-3f-7f
Conduit AP	192.168.1.199	00-08-00-4a-3f-80
Conduit AP	192.168.1.200	00-08-00-4a-3f-81
Conduit AP	192.168.1.201	00-08-00-4a-3f-82
Conduit AP	192.168.1.202	00-08-00-4a-3f-83
Conduit AP	192.168.1.203	00-08-00-4a-3f-84
Conduit AP	192.168.1.204	00-08-00-4a-3f-85
Conduit AP	192.168.1.205	00-08-00-4a-3f-86
Conduit AP	192.168.1.206	00-08-00-4a-3f-87
Conduit AP	192.168.1.207	00-08-00-4a-3f-88
Conduit AP	192.168.1.208	00-08-00-4a-3f-89
Conduit AP	192.168.1.209	00-08-00-4a-3f-8a
Conduit AP	192.168.1.211	00-08-00-4a-3f-8c
Conduit AP	192.168.1.212	00-08-00-4a-3f-8d
